mol_id,status,HOMO_eV,LUMO_eV,HOMO_LUMO_gap_eV,error,split
MOL_10445,success,-9.04852722,-8.41494521,0.63358201,,train
MOL_78166,success,-9.34537596,-8.03998594,1.30539001,,train
MOL_81994,success,-9.35633466,-8.08365708,1.27267758,,train
MOL_88408,success,-9.03160249,-8.46128303,0.57031945,,train
MOL_12438,success,-9.02045358,-8.46470489,0.55574868,,train
MOL_46138,success,-9.06791405,-8.36932771,0.69858634,,train
MOL_47721,success,-9.22837433,-8.30209268,0.92628164,,train
MOL_75735,success,-9.36490044,-8.09384198,1.27105846,,train
MOL_19647,success,-9.06478934,-8.42530239,0.63948695,,train
MOL_61112,success,-8.98052672,-8.57493374,0.40559298,,train
MOL_23388,success,-9.47590273,-7.91352604,1.56237669,,train
MOL_56826,success,-9.18295994,-8.23159456,0.95136539,,train
MOL_06403,success,-9.25870434,-8.2051254,1.05357895,,train
MOL_60382,success,-9.53061709,-7.87777425,1.65284285,,train
MOL_41972,success,-8.81033455,-8.74665478,0.06367977,,train
MOL_41402,success,-9.05843935,-8.47186618,0.58657317,,train
MOL_86519,success,-9.32903623,-8.161217,1.16781923,,train
MOL_35659,success,-9.58125998,-7.81121787,1.77004211,,train
MOL_27334,success,-9.05397124,-8.37949348,0.67447776,,train
MOL_07121,success,-9.38386156,-8.14004945,1.24381211,,train
MOL_99666,success,-8.80574899,-8.75266449,0.0530845,,train
MOL_49336,success,-9.14457671,-8.351948,0.7926287,,train
MOL_82731,success,-8.77030793,-8.75775295,0.01255498,,train
MOL_31085,success,-8.97755037,-8.50205804,0.47549233,,train
MOL_05190,success,-9.21034421,-8.32447124,0.88587296,,train
MOL_45229,success,-8.80179769,-8.7083035,0.09349418,,train
MOL_01396,success,-8.92562752,-8.59264345,0.33298407,,train
MOL_05466,success,-9.36665174,-8.09990918,1.26674256,,train
MOL_24772,success,-9.49362348,-7.98841781,1.50520567,,train
MOL_31915,success,-9.41956423,-8.05416897,1.36539525,,train
MOL_76674,success,-9.09591773,-8.4069388,0.68897892,,train
MOL_80257,success,-9.08697178,-8.46030607,0.62666571,,train
MOL_30919,success,-8.96776851,-8.5840165,0.383752,,train
MOL_32227,success,-9.16061216,-8.37129377,0.78931839,,train
MOL_25562,success,-9.17421293,-8.36212312,0.81208981,,train
MOL_64453,success,-9.23804852,-8.24650733,0.99154118,,train
MOL_37467,success,-9.34253816,-8.12122612,1.22131204,,train
MOL_88332,success,-9.0513872,-8.46795566,0.58343154,,train
MOL_55367,success,-8.81772002,-8.76754656,0.05017346,,train
MOL_01073,success,-9.10836328,-8.4271969,0.68116638,,train
MOL_88143,success,-9.16778913,-8.30867968,0.85910945,,train
MOL_76060,success,-9.30978583,-8.21962809,1.09015774,,train
MOL_18524,success,-9.3433236,-8.11163921,1.23168439,,train
MOL_62097,success,-9.44267895,-7.98781305,1.4548659,,train
MOL_72046,success,-8.86848806,-8.59430564,0.27418242,,train
MOL_31145,success,-9.18714951,-8.31736718,0.86978232,,train
MOL_41940,success,-9.11284968,-8.41126279,0.70158689,,train
MOL_38439,success,-9.00953837,-8.48476024,0.52477813,,train
MOL_22657,success,-8.73732243,-8.72916276,0.00815967,,train
MOL_61920,success,-9.28336213,-8.24139172,1.04197041,,train
MOL_00085,success,-9.29359514,-8.22270131,1.07089383,,train
MOL_96677,success,-8.96076054,-8.48276015,0.47800039,,train
MOL_10961,success,-9.27609186,-8.20569289,1.07039898,,train
MOL_32893,success,-9.05841448,-8.43495296,0.62346151,,train
MOL_26789,success,-8.86202266,-8.5928627,0.26915997,,train
MOL_41466,success,-9.13389497,-8.41632566,0.71756931,,train
MOL_12569,success,-9.26745426,-8.20084756,1.06660671,,train
MOL_48130,success,-8.80893071,-8.6955572,0.11337351,,train
MOL_04671,success,-9.39433784,-8.09587668,1.29846115,,train
MOL_04390,success,-9.30253394,-8.18706703,1.11546691,,train
MOL_59162,success,-9.37532981,-8.104033,1.2712968,,train
MOL_68369,success,-9.52041551,-7.93781978,1.58259573,,train
MOL_38795,success,-8.92736268,-8.49674503,0.43061765,,train
MOL_91942,success,-9.23603995,-8.24719392,0.98884603,,train
MOL_20800,success,-9.03728861,-8.41359364,0.62369497,,train
MOL_54671,success,-8.81377399,-8.72183831,0.09193568,,train
MOL_93883,success,-8.84160275,-8.74483202,0.09677074,,train
MOL_67819,success,-9.430634,-8.09711677,1.33351723,,train
MOL_67946,success,-9.48748484,-7.94406901,1.54341584,,train
MOL_63183,success,-8.79724964,-8.70378741,0.09346223,,train
MOL_34024,success,-9.06495144,-8.46351022,0.60144122,,train
MOL_26150,success,-9.13109154,-8.30979758,0.82129396,,train
MOL_30224,success,-9.20092758,-8.25238577,0.94854181,,train
MOL_52094,success,-9.41609082,-8.03887174,1.37721908,,train
MOL_84924,success,-9.09370349,-8.48617968,0.60752381,,train
MOL_66470,success,-9.09206371,-8.42552436,0.66653935,,train
MOL_68733,success,-9.21647553,-8.28327433,0.9332012,,train
MOL_21321,success,-9.29558341,-8.21735272,1.07823069,,train
MOL_92675,success,-9.0757305,-8.37310257,0.70262793,,train
MOL_22448,success,-9.00280275,-8.50234986,0.5004529,,train
MOL_96073,success,-9.06466162,-8.4049276,0.65973402,,train
MOL_79630,success,-9.27257223,-8.22435517,1.04821707,,train
MOL_51179,success,-8.92357494,-8.5654526,0.35812234,,train
MOL_25579,success,-8.94070847,-8.59096748,0.34974099,,train
MOL_02333,success,-8.92054794,-8.57681683,0.34373111,,train
MOL_49673,success,-9.35562118,-8.03963664,1.31598454,,train
MOL_27671,success,-8.82957124,-8.66373506,0.16583619,,train
MOL_74231,success,-9.3178995,-8.17678816,1.14111133,,train
MOL_91578,success,-9.11507035,-8.37885779,0.73621256,,train
MOL_34617,success,-9.18605456,-8.3293079,0.85674666,,train
MOL_84782,success,-9.14706707,-8.37306242,0.77400465,,train
MOL_22312,success,-8.95644913,-8.54216559,0.41428354,,train
MOL_68898,success,-9.19574114,-8.30450268,0.89123846,,train
MOL_12509,success,-9.14764223,-8.33955153,0.8080907,,train
MOL_13416,success,-9.12811499,-8.30761631,0.82049868,,train
MOL_92781,success,-9.2058051,-8.34398637,0.86181873,,train
