mol_id,molecule_filename,predicted_gap,homo_ev,lumo_ev,actual_gap_ev,status,prediction_error_ev
MOL_71650,gqd_71650.mol,0.7106208987591817,-9.30600622,-8.22196855,1.08403766,SUCCESS,0.37341676124081824
MOL_80308,gqd_80308.mol,0.7106434661013113,-9.22982826,-8.26910964,0.96071862,SUCCESS,0.2500751538986886
MOL_16484,gqd_16484.mol,0.7107020638292416,-9.45720533,-8.05370857,1.40349675,SUCCESS,0.6927946861707583
MOL_63835,gqd_63835.mol,0.7109202178587801,-9.27840676,-8.18133941,1.09706735,SUCCESS,0.386147132
MOL_63981,gqd_63981.mol,0.7109913948618299,-9.06868836,-8.51933101,0.54935735,SUCCESS,-0.161634045
MOL_38315,gqd_38315.mol,0.7112183963045766,-9.23042477,-8.29376397,0.9366608,SUCCESS,0.22544240369542334
MOL_65338,gqd_65338.mol,0.7112205128424921,-9.01562605,-8.47274972,0.54287633,SUCCESS,-0.168344183
MOL_37213,gqd_37213.mol,0.7112557116488945,-8.89969486,-8.63622126,0.2634736,SUCCESS,-0.447782112
MOL_66943,gqd_66943.mol,0.7114074195698952,-8.81728397,-8.72473795,0.09254602,SUCCESS,-0.6188614
MOL_47189,gqd_47189.mol,0.7117415176172912,-9.04675762,-8.46290085,0.58385677,SUCCESS,-0.127884748
MOL_23169,gqd_23169.mol,0.7011288020358873,-8.86874962,-8.64746828,0.22128134,SUCCESS,-0.479847462
MOL_63594,gqd_63594.mol,0.7011632844275886,-9.04081317,-8.40889717,0.63191601,SUCCESS,-0.069247274
MOL_04416,gqd_04416.mol,0.7012184067826974,-9.0103325,-8.52284628,0.48748621,SUCCESS,-0.213732197
MOL_45875,gqd_45875.mol,0.7013691676721829,-9.41917645,-8.11429763,1.30487882,SUCCESS,0.6035096523278172
MOL_24385,gqd_24385.mol,0.7015602242273936,-8.77040169,-8.67571247,0.09468923,SUCCESS,-0.606870994
MOL_02256,gqd_02256.mol,0.7016036437093721,-9.04265758,-8.5222333,0.52042429,SUCCESS,-0.181179354
MOL_08523,gqd_08523.mol,0.7016097513398803,-9.07975342,-8.38945441,0.69029901,SUCCESS,-0.011310741
MOL_98655,gqd_98655.mol,0.7016104727416739,-9.36745224,-8.14478103,1.22267121,SUCCESS,0.521060737
MOL_81717,gqd_81717.mol,0.7016817931774936,-9.38135634,-8.03678804,1.3445683,SUCCESS,0.6428865068225064
MOL_24414,gqd_24414.mol,0.7017721483200814,-9.36199682,-8.13155962,1.2304372,SUCCESS,0.5286650516799185
MOL_71071,gqd_71071.mol,0.7028530441667666,-8.82018103,-8.68739956,0.13278147,SUCCESS,-0.570071574
